"","V1","V2","V3","V4","V5"
"1","varprop","0.0605765315222757","295.803919054232","5000","2"
"2","vargam","0.0530642613095902","212.85661288701","5000","2"
"3","movblk","0.165737327364835","809.319215479747","5000","2"
"4","movblk.du","0.173291908366651","846.209321449716","5000","2"
"5","pointest","4883.1438780125",NA,"5000","2"
"6","varprop","0.0597926381241127","297.084486816948","5000","2"
"7","vargam","0.0516126071552135","212.895167849761","5000","2"
"8","movblk","0.183092871702613","909.711521955349","5000","2"
"9","movblk.du","0.179216950504364","890.453698647156","5000","2"
"10","pointest","4968.57968033261",NA,"5000","2"
"11","varprop","0.0567508886060169","274.211650148532","5000","2"
"12","vargam","0.0498888836345392","197.278330301089","5000","2"
"13","movblk","0.139186168393398","672.52636655558","5000","2"
"14","movblk.du","0.159731973523926","771.800567662541","5000","2"
"15","pointest","4831.84769232775",NA,"5000","2"
"16","varprop","0.0558453810040828","268.851002820232","5000","2"
"17","vargam","0.0507924159690944","192.735418845069","5000","2"
"18","movblk","0.172025942685732","828.167815683332","5000","2"
"19","movblk.du","0.169421687713779","815.630403488798","5000","2"
"20","pointest","4814.2030367843",NA,"5000","2"
"21","varprop","0.0539230070098524","261.984945545948","5000","2"
"22","vargam","0.0484033281751521","188.247665422656","5000","2"
"23","movblk","0.138953554207053","675.105884315746","5000","2"
"24","movblk.du","0.172961176974357","840.331929614212","5000","2"
"25","pointest","4858.50029650757",NA,"5000","2"
"26","varprop","0.058604353049216","297.892550814168","5000","2"
"27","vargam","0.0505491568991955","213.696495310133","5000","2"
"28","movblk","0.147050900524802","747.476349070281","5000","2"
"29","movblk.du","0.140031528450183","711.796087389621","5000","2"
"30","pointest","5083.1130336683",NA,"5000","2"
"31","varprop","0.0628758456560557","290.764988068331","5000","2"
"32","vargam","0.0545900298398421","208.649475703103","5000","2"
"33","movblk","0.159629014250243","738.193306818151","5000","2"
"34","movblk.du","0.145571901141131","673.187162045092","5000","2"
"35","pointest","4624.43065432277",NA,"5000","2"
"36","varprop","0.0528671274005116","270.859865718886","5000","2"
"37","vargam","0.0471238697614111","194.769705817341","5000","2"
"38","movblk","0.151477343147899","776.080238172661","5000","2"
"39","movblk.du","0.162789414107619","834.036593507424","5000","2"
"40","pointest","5123.40804271246",NA,"5000","2"
"41","varprop","0.0591992747164746","312.639465336279","5000","2"
"42","vargam","0.0514922776891213","224.611175567217","5000","2"
"43","movblk","0.17172011599175","906.877415445835","5000","2"
"44","movblk.du","0.159368273668046","841.645647007868","5000","2"
"45","pointest","5281.13675097567",NA,"5000","2"
"46","varprop","0.0599393770600847","290.32061059037","5000","2"
"47","vargam","0.0528310783401137","209.144308857393","5000","2"
"48","movblk","0.145934096493809","706.842114117503","5000","2"
"49","movblk.du","0.144619685957804","700.475673755656","5000","2"
"50","pointest","4843.57070143296",NA,"5000","2"
"51","varprop","0.0581170367365861","274.972873838379","5000","2"
"52","vargam","0.0514643159651809","197.188405500624","5000","2"
"53","movblk","0.138242900626948","654.07752713612","5000","2"
"54","movblk.du","0.159039531495412","752.473964345685","5000","2"
"55","pointest","4731.36431722571",NA,"5000","2"
"56","varprop","0.0597852901227214","270.260452641824","5000","2"
"57","vargam","0.0524017372218091","194.523155320097","5000","2"
"58","movblk","0.149320821882398","675.007394426759","5000","2"
"59","movblk.du","0.150428303072187","680.013782570568","5000","2"
"60","pointest","4520.51754013503",NA,"5000","2"
"61","varprop","0.0595735191733896","299.699310085666","5000","2"
"62","vargam","0.0522124913676078","214.927678535163","5000","2"
"63","movblk","0.140415724981411","706.396004231774","5000","2"
"64","movblk.du","0.166193411923814","836.077028610359","5000","2"
"65","pointest","5030.74712127357",NA,"5000","2"
"66","varprop","0.0578501159506308","244.36227172979","5000","2"
"67","vargam","0.0525150072086572","175.855929525687","5000","2"
"68","movblk","0.138396007610312","584.592826863991","5000","2"
"69","movblk.du","0.146124383023227","617.237936413855","5000","2"
"70","pointest","4224.05846063174",NA,"5000","2"
"71","varprop","0.0561134542393414","274.451444730884","5000","2"
"72","vargam","0.0499090984090166","197.32358842445","5000","2"
"73","movblk","0.173702985784887","849.582975223551","5000","2"
"74","movblk.du","0.176362396380205","862.590178039912","5000","2"
"75","pointest","4891.009624185",NA,"5000","2"
"76","varprop","0.059143960296735","288.863641712106","5000","2"
"77","vargam","0.0518880059305746","208.69804882702","5000","2"
"78","movblk","0.164228869421725","802.106403720825","5000","2"
"79","movblk.du","0.17197379853696","839.933231985359","5000","2"
"80","pointest","4884.07675547645",NA,"5000","2"
"81","varprop","0.0573212876898598","276.30094387149","5000","2"
"82","vargam","0.0506171263210191","198.145780558201","5000","2"
"83","movblk","0.144707567137446","697.521618874872","5000","2"
"84","movblk.du","0.163862329917884","789.851698138002","5000","2"
"85","pointest","4820.21522905124",NA,"5000","2"
"86","varprop","0.0642350820917378","262.109937311387","5000","2"
"87","vargam","0.0564058841105352","188.796859378524","5000","2"
"88","movblk","0.136522363368221","557.076708533537","5000","2"
"89","movblk.du","0.146645741737415","598.384946700639","5000","2"
"90","pointest","4080.47952576837",NA,"5000","2"
"91","varprop","0.0604235146841866","321.536250529078","5000","2"
"92","vargam","0.05267001383432","230.423346752843","5000","2"
