"","V1","V2","V3","V4","V5"
"1","varprop","0.0585161108027366","301.223818773716","5000","3"
"2","vargam","0.0509937606931129","216.142165405971","5000","3"
"3","movblk","0.157642089832261","811.495358241098","5000","3"
"4","movblk.du","0.156216130115253","804.154934800746","5000","3"
"5","pointest","5147.70743717347",NA,"5000","3"
"6","varprop","0.0642959273401364","283.843116706075","5000","3"
"7","vargam","0.0548077454716737","203.89366971779","5000","3"
"8","movblk","0.105741219767173","466.808997469432","5000","3"
"9","movblk.du","0.133685259002722","590.171759592996","5000","3"
"10","pointest","4414.63601892694",NA,"5000","3"
"11","varprop","0.0591104048695824","284.149762750853","5000","3"
"12","vargam","0.0510066585711458","204.498156521445","5000","3"
"13","movblk","0.133358248720758","641.066743130574","5000","3"
"14","movblk.du","0.134126398934555","644.759319784194","5000","3"
"15","pointest","4807.10229235927",NA,"5000","3"
"16","varprop","0.0597649270454946","282.521541783054","5000","3"
"17","vargam","0.0526646758475682","203.33072659947","5000","3"
"18","movblk","0.13770624370673","650.966749370628","5000","3"
"19","movblk.du","0.136547027543577","645.486887621204","5000","3"
"20","pointest","4727.21302860443",NA,"5000","3"
"21","varprop","0.0616131326890262","279.694479748901","5000","3"
"22","vargam","0.0534847438336963","201.167715400012","5000","3"
"23","movblk","0.136330785240689","618.877281311243","5000","3"
"24","movblk.du","0.13184211240792","598.500829767045","5000","3"
"25","pointest","4539.5270057209",NA,"5000","3"
"26","varprop","0.0605384780395406","296.946966038216","5000","3"
"27","vargam","0.0519584017455148","213.279773478284","5000","3"
"28","movblk","0.130345254050186","639.355811066188","5000","3"
"29","movblk.du","0.141631441705","694.715629990709","5000","3"
"30","pointest","4905.09467126452",NA,"5000","3"
"31","varprop","0.0599808354562833","284.107711216428","5000","3"
"32","vargam","0.0530306496936813","204.026725453464","5000","3"
"33","movblk","0.114480890174455","542.254929229677","5000","3"
"34","movblk.du","0.107411300577704","508.768818136136","5000","3"
"35","pointest","4736.641446475",NA,"5000","3"
"36","varprop","0.0602609149254675","288.575700750925","5000","3"
"37","vargam","0.0527729738791208","207.103509818429","5000","3"
"38","movblk","0.13573639359595","650.010457819994","5000","3"
"39","movblk.du","0.128966836057608","617.592599365358","5000","3"
"40","pointest","4788.77065022737",NA,"5000","3"
"41","varprop","0.0592953222958836","298.603349096182","5000","3"
"42","vargam","0.0514108246163004","214.342964865483","5000","3"
"43","movblk","0.149854896821194","754.64931021005","5000","3"
"44","movblk.du","0.163905727395645","825.407422395998","5000","3"
"45","pointest","5035.86687000623",NA,"5000","3"
"46","varprop","0.0601671665910909","299.668741364694","5000","3"
"47","vargam","0.0526503267187962","215.24046237797","5000","3"
"48","movblk","0.150044741716594","747.31321825715","5000","3"
"49","movblk.du","0.147605866640283","735.166150913413","5000","3"
"50","pointest","4980.60251700579",NA,"5000","3"
"51","varprop","0.0603614187562056","294.691044104967","5000","3"
"52","vargam","0.0520847657494542","212.09432853243","5000","3"
"53","movblk","0.135990078367657","663.918426833883","5000","3"
"54","movblk.du","0.142695334048502","696.654217978216","5000","3"
"55","pointest","4882.10930387833",NA,"5000","3"
"56","varprop","0.0558031937361565","267.940884476961","5000","3"
"57","vargam","0.0493750922496089","192.336177994338","5000","3"
"58","movblk","0.136985097226364","657.738485086257","5000","3"
"59","movblk.du","0.146799555285375","704.86293078424","5000","3"
"60","pointest","4801.53314779463",NA,"5000","3"
"61","varprop","0.0608150257097126","306.640914376563","5000","3"
"62","vargam","0.0521613447096786","220.478040342605","5000","3"
"63","movblk","0.157260418170585","792.936907619647","5000","3"
"64","movblk.du","0.16083409940039","810.956087373492","5000","3"
"65","pointest","5042.18999824563",NA,"5000","3"
"66","varprop","0.0617137893708168","273.038436424694","5000","3"
"67","vargam","0.0560872481909366","196.09908172844","5000","3"
"68","movblk","0.144947597391367","641.28723513403","5000","3"
"69","movblk.du","0.140870779636909","623.250294660688","5000","3"
"70","pointest","4424.26950618931",NA,"5000","3"
"71","varprop","0.0589756457650494","266.152364051312","5000","3"
"72","vargam","0.0525091372932222","191.926232758608","5000","3"
"73","movblk","0.151832107722379","685.206136956838","5000","3"
"74","movblk.du","0.144037425258206","650.029359526816","5000","3"
"75","pointest","4512.9198773274",NA,"5000","3"
"76","varprop","0.0609150285784107","283.23683936622","5000","3"
"77","vargam","0.052712078922748","203.37650130308","5000","3"
"78","movblk","0.137710556837687","640.313298316213","5000","3"
"79","movblk.du","0.142457956250654","662.387299368465","5000","3"
"80","pointest","4649.7037919244",NA,"5000","3"
"81","varprop","0.0623508908598874","297.625208325094","5000","3"
"82","vargam","0.0531878717075006","214.095971941568","5000","3"
"83","movblk","0.14520517928427","693.121158949895","5000","3"
"84","movblk.du","0.160102392605035","764.231389403851","5000","3"
"85","pointest","4773.39143387553",NA,"5000","3"
"86","varprop","0.0616250736004268","314.769325844819","5000","3"
"87","vargam","0.0524395558325882","225.925499206348","5000","3"
"88","movblk","0.177534238620789","906.811616443275","5000","3"
"89","movblk.du","0.17937105065351","916.193708041119","5000","3"
"90","pointest","5107.81257456604",NA,"5000","3"
"91","varprop","0.0625458193156844","276.495499505968","5000","3"
"92","vargam","0.0555372644349222","198.806203234569","5000","3"
"93","movblk","0.135795262666827","600.308372204708","5000","3"
"94","movblk.du","0.124300189616261","549.492250523866","5000","3"
"95","pointest","4420.68714633707",NA,"5000","3"
"96","varprop","0.0608325684422029","271.728644026685","5000","3"
"97","vargam","0.053383991536865","195.010214390329","5000","3"
"98","movblk","0.134150716989831","599.228231789819","5000","3"
"99","movblk.du","0.146245719480681","653.254532347236","5000","3"
"100","pointest","4466.82839447846",NA,"5000","3"
"101","varprop","0.0638634024283414","282.260654336742","5000","3"
"102","vargam","0.0556443826407238","202.955820804851","5000","3"
"103","movblk","0.148162975305279","654.844195078265","5000","3"
"104","movblk.du","0.153783846087484","679.687072291199","5000","3"
"105","pointest","4419.75597296833",NA,"5000","3"
"106","varprop","0.0599694455434082","284.022264685757","5000","3"
"107","vargam","0.0519300795307464","204.462437534677","5000","3"
"108","movblk","0.148753321851759","704.513022740627","5000","3"
"109","movblk.du","0.132036277748163","625.339158748199","5000","3"
"110","pointest","4736.11623572824",NA,"5000","3"
"111","varprop","0.0587834430391568","286.509179036359","5000","3"
"112","vargam","0.050838437048425","206.212515681673","5000","3"
"113","movblk","0.141860012332034","691.422508958261","5000","3"
"114","movblk.du","0.141276554263593","688.578747457596","5000","3"
"115","pointest","4873.97750494997",NA,"5000","3"
"116","varprop","0.0600494058060598","288.327019388069","5000","3"
"117","vargam","0.0531767695742246","207.633324311705","5000","3"
"118","movblk","0.1564266705609","751.082130958776","5000","3"
"119","movblk.du","0.148909761754732","714.989718685888","5000","3"
"120","pointest","4801.49662628257",NA,"5000","3"
"121","varprop","0.0588226212965678","266.367045992943","5000","3"
"122","vargam","0.0524963948396825","191.766071283312","5000","3"
"123","movblk","0.136299123021877","617.204639482538","5000","3"
"124","movblk.du","0.141011743743247","638.544845559174","5000","3"
"125","pointest","4528.3096897364",NA,"5000","3"
"126","varprop","0.0598096136225648","289.087008032323","5000","3"
"127","vargam","0.0521840808944667","207.420238648984","5000","3"
"128","movblk","0.130144005457847","629.045045978309","5000","3"
"129","movblk.du","0.140400041091316","678.617121034047","5000","3"
"130","pointest","4833.45386339791",NA,"5000","3"
"131","varprop","0.0577738094601073","297.201582999013","5000","3"
"132","vargam","0.050825261156045","213.583430883507","5000","3"
"133","movblk","0.136170162715438","700.490209914332","5000","3"
"134","movblk.du","0.142933848775627","735.284145484472","5000","3"
"135","pointest","5144.22686986271",NA,"5000","3"
"136","varprop","0.0551236217901944","277.397373367771","5000","3"
"137","vargam","0.0486407181185902","198.993566151647","5000","3"
"138","movblk","0.147680853608108","743.171068176923","5000","3"
"139","movblk.du","0.140225639070891","705.654358219283","5000","3"
"140","pointest","5032.27771251263",NA,"5000","3"
"141","varprop","0.0575624742173958","305.386572192235","5000","3"
"142","vargam","0.0511524460947325","219.809184350199","5000","3"
"143","movblk","0.167174316283596","886.910997182249","5000","3"
"144","movblk.du","0.150998707305462","801.094432725723","5000","3"
"145","pointest","5305.30656203004",NA,"5000","3"
"146","varprop","0.0602639384815454","266.646028110759","5000","3"
"147","vargam","0.0526753925890703","191.984372851344","5000","3"
"148","movblk","0.157461279734977","696.708942038805","5000","3"
"149","movblk.du","0.168217667874726","744.302050729502","5000","3"
"150","pointest","4424.63660406822",NA,"5000","3"
"151","varprop","0.0602230370490789","275.365344983349","5000","3"
"152","vargam","0.0531081978940989","198.128181984821","5000","3"
"153","movblk","0.146928351978991","671.818930313289","5000","3"
"154","movblk.du","0.155110933409508","709.233173580905","5000","3"
"155","pointest","4572.42541187254",NA,"5000","3"
"156","varprop","0.0599827879753583","308.602882610683","5000","3"
"157","vargam","0.0518994958543526","221.83408487925","5000","3"
"158","movblk","0.16504845669241","849.150751823116","5000","3"
"159","movblk.du","0.167471886806577","861.618953857085","5000","3"
"160","pointest","5144.85726701235",NA,"5000","3"
"161","varprop","0.0664137196582265","295.859965431687","5000","3"
"162","vargam","0.056570615879554","213.103082271599","5000","3"
"163","movblk","0.12553651967366","559.240328085776","5000","3"
"164","movblk.du","0.123424588300263","549.83209216189","5000","3"
"165","pointest","4454.80191373439",NA,"5000","3"
"166","varprop","0.0613346506891128","291.839461460644","5000","3"
"167","vargam","0.0529737470517052","210.192440956486","5000","3"
"168","movblk","0.14879062372807","707.968090000079","5000","3"
"169","movblk.du","0.150979022813146","718.380820867116","5000","3"
"170","pointest","4758.14989050629",NA,"5000","3"
"171","varprop","0.0578231520332803","285.24024807051","5000","3"
"172","vargam","0.0512332734273007","205.249488333192","5000","3"
"173","movblk","0.155494926701585","767.052813733473","5000","3"
"174","movblk.du","0.142332987417307","702.12527701988","5000","3"
"175","pointest","4932.97646427748",NA,"5000","3"
"176","varprop","0.0569280355834642","264.926497945876","5000","3"
"177","vargam","0.0507726827181164","191.185171302661","5000","3"
