"","V1","V2","V3","V4","V5"
"1","varprop","0.0582534054045668","296.209225960609","5000","1"
"2","vargam","0.0510938658690604","213.386405461768","5000","1"
"3","movblk","0.172066180794406","874.928939744244","5000","1"
"4","movblk.du","0.196097935915238","997.126561211679","5000","1"
"5","pointest","5084.83965707157",NA,"5000","1"
"6","varprop","0.0594014725616518","273.010294177305","5000","1"
"7","vargam","0.0529839659231921","196.645188330978","5000","1"
"8","movblk","0.193048052177994","887.252508105233","5000","1"
"9","movblk.du","0.197493919673565","907.685799410924","5000","1"
"10","pointest","4596.01896053926",NA,"5000","1"
"11","varprop","0.0626360605832248","288.080952087108","5000","1"
"12","vargam","0.0538339945533895","207.027500421999","5000","1"
"13","movblk","0.173001716490834","795.683807942593","5000","1"
"14","movblk.du","0.177705934404002","817.319836176679","5000","1"
"15","pointest","4599.28273593026",NA,"5000","1"
"16","varprop","0.0582771789672365","282.074773276422","5000","1"
"17","vargam","0.05047132785513","202.437460273434","5000","1"
"18","movblk","0.20648715337374","999.444688376848","5000","1"
"19","movblk.du","0.199759773946569","966.882645047152","5000","1"
"20","pointest","4840.22696834734",NA,"5000","1"
"21","varprop","0.0549339156646041","241.693211134251","5000","1"
"22","vargam","0.0483322863049613","174.127768061365","5000","1"
"23","movblk","0.200274320907917","881.148615429114","5000","1"
"24","movblk.du","0.20733278990604","912.20382089205","5000","1"
"25","pointest","4399.70841710781",NA,"5000","1"
"26","varprop","0.062560600004202","259.239246003139","5000","1"
"27","vargam","0.0557922965389144","187.113280057288","5000","1"
"28","movblk","0.154183919904824","638.908884173912","5000","1"
"29","movblk.du","0.162596357800256","673.7684292696","5000","1"
"30","pointest","4143.8100975011",NA,"5000","1"
"31","varprop","0.0616888003588275","281.161006908874","5000","1"
"32","vargam","0.053761642908331","203.82802774059","5000","1"
"33","movblk","0.177354419028779","808.33387493058","5000","1"
"34","movblk.du","0.210427427796891","959.071778612598","5000","1"
"35","pointest","4557.73179691345",NA,"5000","1"
"36","varprop","0.0580559678145494","273.4043851507","5000","1"
"37","vargam","0.0509362488450237","196.490371043755","5000","1"
"38","movblk","0.175836275458209","828.070060470044","5000","1"
"39","movblk.du","0.188366818923635","887.080454418042","5000","1"
"40","pointest","4709.32438890773",NA,"5000","1"
"41","varprop","0.0593757132039858","283.423314756477","5000","1"
"42","vargam","0.0513106280738922","204.155133670047","5000","1"
"43","movblk","0.189113309220154","902.711194046673","5000","1"
"44","movblk.du","0.194710830334917","929.430333963611","5000","1"
"45","pointest","4773.38796390999",NA,"5000","1"
"46","varprop","0.0578410792048039","318.946971422967","5000","1"
"47","vargam","0.0513119764645879","230.624550915546","5000","1"
"48","movblk","0.204564787608257","1128.01006420394","5000","1"
"49","movblk.du","0.196889627522937","1085.68773726859","5000","1"
"50","pointest","5514.19468322227",NA,"5000","1"
"51","varprop","0.0610604715104736","270.186293805298","5000","1"
"52","vargam","0.0538419824799664","194.862778637838","5000","1"
"53","movblk","0.19558623865886","865.448949792199","5000","1"
"54","movblk.du","0.209496767222436","927.001605127011","5000","1"
"55","pointest","4424.89694431779",NA,"5000","1"
"56","varprop","0.0592308180434173","283.023282805267","5000","1"
"57","vargam","0.0517262897982262","203.158035739708","5000","1"
"58","movblk","0.219099544628348","1046.9258137951","5000","1"
"59","movblk.du","0.22648455699845","1082.21370131021","5000","1"
"60","pointest","4778.31122639242",NA,"5000","1"
"61","varprop","0.0577767353170693","284.84066177515","5000","1"
"62","vargam","0.051031818683388","205.061191443048","5000","1"
"63","movblk","0.18200811904265","897.30430063331","5000","1"
"64","movblk.du","0.18011797909156","887.985866291845","5000","1"
"65","pointest","4930.02348111209",NA,"5000","1"
"66","varprop","0.0579152619811997","290.819077657378","5000","1"
"67","vargam","0.0519297971944408","209.195574792606","5000","1"
"68","movblk","0.18952639312","951.698895133727","5000","1"
